network,geoname_id,registered_country_geoname_id,represented_country_geoname_id,is_anonymous_proxy,is_satellite_provider,is_anycast
2001:388::/32,2077456,2077456,,0,0,
2001:390::/32,1835841,1835841,,0,0,
2001:398::/32,1861060,1861060,,0,0,
2001:3a0::/32,1861060,1861060,,0,0,
2001:3a8::/32,1835841,1835841,,0,0,
2001:3b0::/32,1861060,1861060,,0,0,
2001:3b8::/32,1861060,1861060,,0,0,
2001:3c0::/35,1861060,1861060,,0,0,
2001:3c8::/32,1605651,1605651,,0,0,
2001:3d0::/32,1861060,1861060,,0,0,
2001:3d8::/32,1861060,1861060,,0,0,
2001:3e0::/32,1861060,1861060,,0,0,
2001:3e8::/32,1861060,1861060,,0,0,
2001:400::/33,6252001,6252001,,0,0,
2001:400:8000::/35,6252001,6252001,,0,0,
2001:400:a000::/36,6252001,6252001,,0,0,
2001:400:b000::/37,6252001,6252001,,0,0,
2001:400:b800::/39,6252001,6252001,,0,0,
2001:400:ba00::/48,6252001,6252001,,0,0,
2001:400:ba01::/52,6252001,6252001,,0,0,
2001:400:ba01:1000::/56,6252001,6252001,,0,0,
2001:400:ba01:1100::/57,6252001,6252001,,0,0,
2001:400:ba01:1180::/58,6252001,6252001,,0,0,
2001:400:ba01:11c0::/60,6252001,6252001,,0,0,
2001:400:ba01:11d0::/64,2750405,6252001,,0,0,
2001:400:ba01:11d1::/64,6252001,6252001,,0,0,
2001:400:ba01:11d2::/63,6252001,6252001,,0,0,
2001:400:ba01:11d4::/62,6252001,6252001,,0,0,
2001:400:ba01:11d8::/61,6252001,6252001,,0,0,
2001:400:ba01:11e0::/59,6252001,6252001,,0,0,
2001:400:ba01:1200::/55,6252001,6252001,,0,0,
2001:400:ba01:1400::/54,6252001,6252001,,0,0,
2001:400:ba01:1800::/53,6252001,6252001,,0,0,
2001:400:ba01:2000::/51,6252001,6252001,,0,0,
2001:400:ba01:4000::/50,6252001,6252001,,0,0,
2001:400:ba01:8000::/49,6252001,6252001,,0,0,
2001:400:ba02::/47,6252001,6252001,,0,0,
2001:400:ba04::/46,6252001,6252001,,0,0,
2001:400:ba08::/45,6252001,6252001,,0,0,
2001:400:ba10::/44,6252001,6252001,,0,0,
2001:400:ba20::/43,6252001,6252001,,0,0,
2001:400:ba40::/42,6252001,6252001,,0,0,
2001:400:ba80::/41,6252001,6252001,,0,0,
2001:400:bb00::/40,6252001,6252001,,0,0,
2001:400:bc00::/48,6252001,6252001,,0,0,
2001:400:bc01::/52,6252001,6252001,,0,0,
2001:400:bc01:1000::/56,6252001,6252001,,0,0,
2001:400:bc01:1100::/57,6252001,6252001,,0,0,
2001:400:bc01:1180::/58,6252001,6252001,,0,0,
2001:400:bc01:11c0::/60,6252001,6252001,,0,0,
2001:400:bc01:11d0::/64,2635167,6252001,,0,0,
2001:400:bc01:11d1::/64,6252001,6252001,,0,0,
2001:400:bc01:11d2::/63,6252001,6252001,,0,0,
2001:400:bc01:11d4::/62,6252001,6252001,,0,0,
2001:400:bc01:11d8::/61,6252001,6252001,,0,0,
2001:400:bc01:11e0::/59,6252001,6252001,,0,0,
2001:400:bc01:1200::/55,6252001,6252001,,0,0,
2001:400:bc01:1400::/54,6252001,6252001,,0,0,
2001:400:bc01:1800::/53,6252001,6252001,,0,0,
2001:400:bc01:2000::/51,6252001,6252001,,0,0,
2001:400:bc01:4000::/50,6252001,6252001,,0,0,
2001:400:bc01:8000::/49,6252001,6252001,,0,0,
2001:400:bc02::/47,6252001,6252001,,0,0,
2001:400:bc04::/46,6252001,6252001,,0,0,
2001:400:bc08::/45,6252001,6252001,,0,0,
2001:400:bc10::/44,6252001,6252001,,0,0,
