network,autonomous_system_number,autonomous_system_organization
2001:200::/37,2500,"WIDE Project"
2001:200:800::/40,2500,"WIDE Project"
2001:200:900::/40,7660,"Asia Pacific Advanced Network - Japan"
2001:200:a00::/39,2500,"WIDE Project"
2001:200:c00::/39,2500,"WIDE Project"
2001:200:e00::/40,4690,"WIDE Project"
2001:200:f00::/40,2500,"WIDE Project"
2001:200:1000::/36,2500,"WIDE Project"
2001:200:2000::/35,2500,"WIDE Project"
2001:200:4000::/34,2500,"WIDE Project"
2001:200:8000::/34,2500,"WIDE Project"
2001:200:c000::/35,23634,"WIDE Project"
2001:200:e000::/35,7660,"Asia Pacific Advanced Network - Japan"
2001:218::/35,2914,NTT-DATA-2914
2001:218:2000::/39,2914,NTT-DATA-2914
2001:218:2200::/40,18259,"NTT Communications Corporation"
2001:218:2300::/40,2914,NTT-DATA-2914
2001:218:2400::/38,2914,NTT-DATA-2914
2001:218:2800::/37,2914,NTT-DATA-2914
2001:218:3000::/46,2914,NTT-DATA-2914
2001:218:3004::/48,20940,"Akamai International B.V."
2001:218:3005::/48,2914,NTT-DATA-2914
2001:218:3006::/47,2914,NTT-DATA-2914
2001:218:3008::/45,2914,NTT-DATA-2914
2001:218:3010::/44,2914,NTT-DATA-2914
2001:218:3020::/43,2914,NTT-DATA-2914
2001:218:3040::/42,2914,NTT-DATA-2914
2001:218:3080::/41,2914,NTT-DATA-2914
2001:218:3100::/40,2914,NTT-DATA-2914
2001:218:3200::/39,2914,NTT-DATA-2914
2001:218:3400::/38,2914,NTT-DATA-2914
2001:218:3800::/37,2914,NTT-DATA-2914
2001:218:4000::/34,2914,NTT-DATA-2914
2001:218:8000::/33,2914,NTT-DATA-2914
2001:240::/32,2497,"Internet Initiative Japan Inc."
2001:250::/47,23910,"China Next Generation Internet CERNET2"
2001:250:2::/48,4538,"China Education and Research Network Center"
2001:250:3::/48,23910,"China Next Generation Internet CERNET2"
2001:250:4::/46,23910,"China Next Generation Internet CERNET2"
2001:250:8::/45,23910,"China Next Generation Internet CERNET2"
2001:250:10::/44,23910,"China Next Generation Internet CERNET2"
2001:250:20::/43,23910,"China Next Generation Internet CERNET2"
2001:250:40::/42,23910,"China Next Generation Internet CERNET2"
2001:250:80::/41,23910,"China Next Generation Internet CERNET2"
2001:250:100::/40,23910,"China Next Generation Internet CERNET2"
2001:250:200::/46,23910,"China Next Generation Internet CERNET2"
2001:250:204::/48,23910,"China Next Generation Internet CERNET2"
2001:250:205::/48,4538,"China Education and Research Network Center"
2001:250:206::/47,4538,"China Education and Research Network Center"
2001:250:208::/46,4538,"China Education and Research Network Center"
2001:250:20c::/48,4538,"China Education and Research Network Center"
2001:250:20d::/48,23910,"China Next Generation Internet CERNET2"
2001:250:20e::/48,23910,"China Next Generation Internet CERNET2"
2001:250:20f::/48,4538,"China Education and Research Network Center"
2001:250:210::/48,4538,"China Education and Research Network Center"
2001:250:211::/48,23910,"China Next Generation Internet CERNET2"
2001:250:212::/48,4538,"China Education and Research Network Center"
2001:250:213::/48,23910,"China Next Generation Internet CERNET2"
2001:250:214::/47,4538,"China Education and Research Network Center"
2001:250:216::/48,23910,"China Next Generation Internet CERNET2"
2001:250:217::/48,24348,"CERNET2 IX at Tsinghua University"
2001:250:218::/46,4538,"China Education and Research Network Center"
2001:250:21c::/47,23910,"China Next Generation Internet CERNET2"
2001:250:21e::/47,4538,"China Education and Research Network Center"
2001:250:220::/47,23910,"China Next Generation Internet CERNET2"
2001:250:222::/48,23910,"China Next Generation Internet CERNET2"
2001:250:223::/48,4538,"China Education and Research Network Center"
2001:250:224::/46,23910,"China Next Generation Internet CERNET2"
2001:250:228::/48,4538,"China Education and Research Network Center"
2001:250:229::/48,23910,"China Next Generation Internet CERNET2"
2001:250:22a::/48,23910,"China Next Generation Internet CERNET2"
2001:250:22b::/48,4538,"China Education and Research Network Center"
2001:250:22c::/48,23910,"China Next Generation Internet CERNET2"
2001:250:22d::/48,4538,"China Education and Research Network Center"
2001:250:22e::/48,4538,"China Education and Research Network Center"
2001:250:22f::/48,23910,"China Next Generation Internet CERNET2"
2001:250:230::/47,4538,"China Education and Research Network Center"
2001:250:232::/48,4538,"China Education and Research Network Center"
2001:250:233::/48,23910,"China Next Generation Internet CERNET2"
2001:250:234::/48,4538,"China Education and Research Network Center"
2001:250:235::/48,23910,"China Next Generation Internet CERNET2"
2001:250:236::/47,4538,"China Education and Research Network Center"
2001:250:238::/48,4538,"China Education and Research Network Center"
2001:250:239::/48,23910,"China Next Generation Internet CERNET2"
2001:250:23a::/47,4538,"China Education and Research Network Center"
2001:250:23c::/47,4538,"China Education and Research Network Center"
2001:250:23e::/48,23910,"China Next Generation Internet CERNET2"
2001:250:23f::/48,24357,"CERNET2 IX at South China University of Technology"
2001:250:240::/47,23910,"China Next Generation Internet CERNET2"
2001:250:242::/48,23910,"China Next Generation Internet CERNET2"
2001:250:243::/48,4538,"China Education and Research Network Center"
2001:250:244::/46,23910,"China Next Generation Internet CERNET2"
2001:250:248::/48,24348,"CERNET2 IX at Tsinghua University"
2001:250:249::/48,23910,"China Next Generation Internet CERNET2"
2001:250:24a::/47,23910,"China Next Generation Internet CERNET2"
2001:250:24c::/46,23910,"China Next Generation Internet CERNET2"
2001:250:250::/44,23910,"China Next Generation Internet CERNET2"
2001:250:260::/43,23910,"China Next Generation Internet CERNET2"
2001:250:280::/41,23910,"China Next Generation Internet CERNET2"
2001:250:300::/40,23910,"China Next Generation Internet CERNET2"
2001:250:400::/48,23910,"China Next Generation Internet CERNET2"
2001:250:401::/48,24352,"CERNET2 IX at Tianjin University"
2001:250:402::/47,24352,"CERNET2 IX at Tianjin University"
2001:250:404::/46,24352,"CERNET2 IX at Tianjin University"
2001:250:408::/48,24352,"CERNET2 IX at Tianjin University"
2001:250:409::/48,23910,"China Next Generation Internet CERNET2"
2001:250:40a::/47,23910,"China Next Generation Internet CERNET2"
2001:250:40c::/48,23910,"China Next Generation Internet CERNET2"
2001:250:40d::/48,24352,"CERNET2 IX at Tianjin University"
2001:250:40e::/48,24352,"CERNET2 IX at Tianjin University"
2001:250:40f::/48,23910,"China Next Generation Internet CERNET2"
2001:250:410::/44,23910,"China Next Generation Internet CERNET2"
2001:250:420::/43,23910,"China Next Generation Internet CERNET2"
2001:250:440::/42,23910,"China Next Generation Internet CERNET2"
2001:250:480::/41,23910,"China Next Generation Internet CERNET2"
2001:250:500::/40,23910,"China Next Generation Internet CERNET2"
2001:250:600::/39,23910,"China Next Generation Internet CERNET2"
2001:250:800::/48,138182,"CERNET2 regional IX at Hebei Normal University"
2001:250:801::/48,4538,"China Education and Research Network Center"
2001:250:802::/48,138182,"CERNET2 regional IX at Hebei Normal University"
2001:250:803::/48,4538,"China Education and Research Network Center"
2001:250:804::/47,138182,"CERNET2 regional IX at Hebei Normal University"
2001:250:806::/47,23910,"China Next Generation Internet CERNET2"
2001:250:808::/47,138182,"CERNET2 regional IX at Hebei Normal University"
2001:250:80a::/48,138182,"CERNET2 regional IX at Hebei Normal University"
2001:250:80b::/48,4538,"China Education and Research Network Center"
2001:250:80c::/48,23910,"China Next Generation Internet CERNET2"
2001:250:80d::/48,138182,"CERNET2 regional IX at Hebei Normal University"
2001:250:80e::/48,138182,"CERNET2 regional IX at Hebei Normal University"
2001:250:80f::/48,23910,"China Next Generation Internet CERNET2"
2001:250:810::/47,138182,"CERNET2 regional IX at Hebei Normal University"
2001:250:812::/48,23910,"China Next Generation Internet CERNET2"
2001:250:813::/48,138182,"CERNET2 regional IX at Hebei Normal University"
2001:250:814::/48,23910,"China Next Generation Internet CERNET2"
2001:250:815::/48,138182,"CERNET2 regional IX at Hebei Normal University"
2001:250:816::/48,23910,"China Next Generation Internet CERNET2"
2001:250:817::/48,138182,"CERNET2 regional IX at Hebei Normal University"
2001:250:818::/48,23910,"China Next Generation Internet CERNET2"
2001:250:819::/48,138182,"CERNET2 regional IX at Hebei Normal University"
2001:250:81a::/48,138182,"CERNET2 regional IX at Hebei Normal University"
2001:250:81b::/48,23910,"China Next Generation Internet CERNET2"
2001:250:81c::/46,138182,"CERNET2 regional IX at Hebei Normal University"
2001:250:820::/45,138182,"CERNET2 regional IX at Hebei Normal University"
2001:250:828::/46,138182,"CERNET2 regional IX at Hebei Normal University"
2001:250:82c::/47,138182,"CERNET2 regional IX at Hebei Normal University"
2001:250:82e::/48,138182,"CERNET2 regional IX at Hebei Normal University"
2001:250:82f::/48,23910,"China Next Generation Internet CERNET2"
2001:250:830::/48,23910,"China Next Generation Internet CERNET2"
2001:250:831::/48,138182,"CERNET2 regional IX at Hebei Normal University"
2001:250:832::/47,138182,"CERNET2 regional IX at Hebei Normal University"
2001:250:834::/48,23910,"China Next Generation Internet CERNET2"
2001:250:835::/48,138182,"CERNET2 regional IX at Hebei Normal University"
2001:250:836::/47,138182,"CERNET2 regional IX at Hebei Normal University"
2001:250:838::/47,138182,"CERNET2 regional IX at Hebei Normal University"
2001:250:83a::/48,23910,"China Next Generation Internet CERNET2"
2001:250:83b::/48,138182,"CERNET2 regional IX at Hebei Normal University"
2001:250:83c::/48,23910,"China Next Generation Internet CERNET2"
2001:250:83d::/48,138182,"CERNET2 regional IX at Hebei Normal University"
2001:250:83e::/47,138182,"CERNET2 regional IX at Hebei Normal University"
2001:250:840::/45,138182,"CERNET2 regional IX at Hebei Normal University"
2001:250:848::/48,138182,"CERNET2 regional IX at Hebei Normal University"
2001:250:849::/48,23910,"China Next Generation Internet CERNET2"
2001:250:84a::/48,138182,"CERNET2 regional IX at Hebei Normal University"
2001:250:84b::/48,23910,"China Next Generation Internet CERNET2"
2001:250:84c::/48,138182,"CERNET2 regional IX at Hebei Normal University"
2001:250:84d::/48,23910,"China Next Generation Internet CERNET2"
2001:250:84e::/48,23910,"China Next Generation Internet CERNET2"
2001:250:84f::/48,138182,"CERNET2 regional IX at Hebei Normal University"
2001:250:850::/48,138182,"CERNET2 regional IX at Hebei Normal University"
2001:250:851::/48,23910,"China Next Generation Internet CERNET2"
2001:250:852::/47,138182,"CERNET2 regional IX at Hebei Normal University"
2001:250:854::/48,23910,"China Next Generation Internet CERNET2"
2001:250:855::/48,138182,"CERNET2 regional IX at Hebei Normal University"
2001:250:856::/47,138182,"CERNET2 regional IX at Hebei Normal University"
2001:250:858::/47,138182,"CERNET2 regional IX at Hebei Normal University"
2001:250:85a::/48,138182,"CERNET2 regional IX at Hebei Normal University"
2001:250:85b::/48,23910,"China Next Generation Internet CERNET2"
2001:250:85c::/46,138182,"CERNET2 regional IX at Hebei Normal University"
2001:250:860::/48,138182,"CERNET2 regional IX at Hebei Normal University"
2001:250:861::/48,23910,"China Next Generation Internet CERNET2"
2001:250:862::/47,138182,"CERNET2 regional IX at Hebei Normal University"
2001:250:864::/48,23910,"China Next Generation Internet CERNET2"
2001:250:865::/48,138182,"CERNET2 regional IX at Hebei Normal University"
2001:250:866::/48,138182,"CERNET2 regional IX at Hebei Normal University"
2001:250:867::/48,23910,"China Next Generation Internet CERNET2"
2001:250:868::/47,138182,"CERNET2 regional IX at Hebei Normal University"
2001:250:86a::/48,138182,"CERNET2 regional IX at Hebei Normal University"
2001:250:86b::/48,23910,"China Next Generation Internet CERNET2"
2001:250:86c::/46,138182,"CERNET2 regional IX at Hebei Normal University"
2001:250:870::/47,138182,"CERNET2 regional IX at Hebei Normal University"
2001:250:872::/48,138182,"CERNET2 regional IX at Hebei Normal University"
2001:250:873::/48,23910,"China Next Generation Internet CERNET2"
2001:250:874::/46,138182,"CERNET2 regional IX at Hebei Normal University"
2001:250:878::/45,138182,"CERNET2 regional IX at Hebei Normal University"
2001:250:880::/47,138182,"CERNET2 regional IX at Hebei Normal University"
2001:250:882::/48,138182,"CERNET2 regional IX at Hebei Normal University"
2001:250:883::/48,23910,"China Next Generation Internet CERNET2"
2001:250:884::/48,138182,"CERNET2 regional IX at Hebei Normal University"
2001:250:885::/48,23910,"China Next Generation Internet CERNET2"
2001:250:886::/47,138182,"CERNET2 regional IX at Hebei Normal University"
2001:250:888::/48,138182,"CERNET2 regional IX at Hebei Normal University"
2001:250:889::/48,23910,"China Next Generation Internet CERNET2"
2001:250:88a::/47,23910,"China Next Generation Internet CERNET2"
2001:250:88c::/46,23910,"China Next Generation Internet CERNET2"
2001:250:890::/44,23910,"China Next Generation Internet CERNET2"
2001:250:8a0::/43,23910,"China Next Generation Internet CERNET2"
2001:250:8c0::/42,23910,"China Next Generation Internet CERNET2"
2001:250:900::/40,23910,"China Next Generation Internet CERNET2"
2001:250:a00::/39,23910,"China Next Generation Internet CERNET2"
2001:250:c00::/45,138374,"CERNET2 regional IX at Taiyuan University"
2001:250:c08::/46,138374,"CERNET2 regional IX at Taiyuan University"
2001:250:c0c::/48,23910,"China Next Generation Internet CERNET2"
2001:250:c0d::/48,138374,"CERNET2 regional IX at Taiyuan University"
2001:250:c0e::/47,138374,"CERNET2 regional IX at Taiyuan University"
2001:250:c10::/48,23910,"China Next Generation Internet CERNET2"
2001:250:c11::/48,138374,"CERNET2 regional IX at Taiyuan University"
2001:250:c12::/47,138374,"CERNET2 regional IX at Taiyuan University"
2001:250:c14::/46,138374,"CERNET2 regional IX at Taiyuan University"
2001:250:c18::/46,138374,"CERNET2 regional IX at Taiyuan University"
2001:250:c1c::/48,138374,"CERNET2 regional IX at Taiyuan University"
2001:250:c1d::/48,23910,"China Next Generation Internet CERNET2"
2001:250:c1e::/47,138374,"CERNET2 regional IX at Taiyuan University"
2001:250:c20::/45,138374,"CERNET2 regional IX at Taiyuan University"
2001:250:c28::/46,138374,"CERNET2 regional IX at Taiyuan University"
2001:250:c2c::/47,138374,"CERNET2 regional IX at Taiyuan University"
2001:250:c2e::/48,23910,"China Next Generation Internet CERNET2"
2001:250:c2f::/48,138374,"CERNET2 regional IX at Taiyuan University"
2001:250:c30::/45,138374,"CERNET2 regional IX at Taiyuan University"
2001:250:c38::/47,23910,"China Next Generation Internet CERNET2"
2001:250:c3a::/48,23910,"China Next Generation Internet CERNET2"
2001:250:c3b::/48,138374,"CERNET2 regional IX at Taiyuan University"
2001:250:c3c::/46,23910,"China Next Generation Internet CERNET2"
2001:250:c40::/42,23910,"China Next Generation Internet CERNET2"
2001:250:c80::/41,23910,"China Next Generation Internet CERNET2"
2001:250:d00::/40,23910,"China Next Generation Internet CERNET2"
2001:250:e00::/47,138375,"CERNET2 regional IX at Inner Mongolia University"
2001:250:e02::/48,138375,"CERNET2 regional IX at Inner Mongolia University"
2001:250:e03::/48,23910,"China Next Generation Internet CERNET2"
2001:250:e04::/46,138375,"CERNET2 regional IX at Inner Mongolia University"
2001:250:e08::/46,138375,"CERNET2 regional IX at Inner Mongolia University"
2001:250:e0c::/48,138375,"CERNET2 regional IX at Inner Mongolia University"
2001:250:e0d::/48,23910,"China Next Generation Internet CERNET2"
2001:250:e0e::/47,138375,"CERNET2 regional IX at Inner Mongolia University"
2001:250:e10::/44,138375,"CERNET2 regional IX at Inner Mongolia University"
2001:250:e20::/47,138375,"CERNET2 regional IX at Inner Mongolia University"
2001:250:e22::/48,138375,"CERNET2 regional IX at Inner Mongolia University"
2001:250:e23::/48,23910,"China Next Generation Internet CERNET2"
2001:250:e24::/46,138375,"CERNET2 regional IX at Inner Mongolia University"
2001:250:e28::/45,23910,"China Next Generation Internet CERNET2"
2001:250:e30::/44,23910,"China Next Generation Internet CERNET2"
2001:250:e40::/42,23910,"China Next Generation Internet CERNET2"
2001:250:e80::/41,23910,"China Next Generation Internet CERNET2"
2001:250:f00::/40,23910,"China Next Generation Internet CERNET2"
2001:250:1000::/48,23910,"China Next Generation Internet CERNET2"
2001:250:1001::/48,24353,"CERNET2 IX at Xian Jiaotong University"
2001:250:1002::/47,24353,"CERNET2 IX at Xian Jiaotong University"
2001:250:1004::/46,24353,"CERNET2 IX at Xian Jiaotong University"
2001:250:1008::/45,24353,"CERNET2 IX at Xian Jiaotong University"
2001:250:1010::/45,24353,"CERNET2 IX at Xian Jiaotong University"
2001:250:1018::/46,24353,"CERNET2 IX at Xian Jiaotong University"
2001:250:101c::/47,24353,"CERNET2 IX at Xian Jiaotong University"
2001:250:101e::/48,24353,"CERNET2 IX at Xian Jiaotong University"
2001:250:101f::/48,4538,"China Education and Research Network Center"
2001:250:1020::/47,24353,"CERNET2 IX at Xian Jiaotong University"
2001:250:1022::/48,24353,"CERNET2 IX at Xian Jiaotong University"
2001:250:1023::/48,23910,"China Next Generation Internet CERNET2"
2001:250:1024::/46,24353,"CERNET2 IX at Xian Jiaotong University"
2001:250:1028::/45,24353,"CERNET2 IX at Xian Jiaotong University"
2001:250:1030::/47,24353,"CERNET2 IX at Xian Jiaotong University"
2001:250:1032::/48,24353,"CERNET2 IX at Xian Jiaotong University"
2001:250:1033::/48,23910,"China Next Generation Internet CERNET2"
2001:250:1034::/46,23910,"China Next Generation Internet CERNET2"
2001:250:1038::/45,23910,"China Next Generation Internet CERNET2"
2001:250:1040::/42,23910,"China Next Generation Internet CERNET2"
2001:250:1080::/41,23910,"China Next Generation Internet CERNET2"
2001:250:1100::/40,23910,"China Next Generation Internet CERNET2"
2001:250:1200::/39,23910,"China Next Generation Internet CERNET2"
2001:250:1400::/46,24354,"CERNET2 IX at Lanzhou University"
2001:250:1404::/47,24354,"CERNET2 IX at Lanzhou University"
2001:250:1406::/48,24354,"CERNET2 IX at Lanzhou University"
2001:250:1407::/48,23910,"China Next Generation Internet CERNET2"
2001:250:1408::/45,24354,"CERNET2 IX at Lanzhou University"
2001:250:1410::/44,24354,"CERNET2 IX at Lanzhou University"
2001:250:1420::/47,24354,"CERNET2 IX at Lanzhou University"
2001:250:1422::/48,24354,"CERNET2 IX at Lanzhou University"
2001:250:1423::/48,23910,"China Next Generation Internet CERNET2"
2001:250:1424::/47,24354,"CERNET2 IX at Lanzhou University"
2001:250:1426::/48,24354,"CERNET2 IX at Lanzhou University"
2001:250:1427::/48,23910,"China Next Generation Internet CERNET2"
2001:250:1428::/45,23910,"China Next Generation Internet CERNET2"
2001:250:1430::/44,23910,"China Next Generation Internet CERNET2"
2001:250:1440::/42,23910,"China Next Generation Internet CERNET2"
2001:250:1480::/41,23910,"China Next Generation Internet CERNET2"
2001:250:1500::/40,23910,"China Next Generation Internet CERNET2"
2001:250:1600::/39,23910,"China Next Generation Internet CERNET2"
2001:250:1800::/38,23910,"China Next Generation Internet CERNET2"
2001:250:1c00::/45,138376,"CERNET2 regional IX at Ningxia University"
2001:250:1c08::/46,138376,"CERNET2 regional IX at Ningxia University"
2001:250:1c0c::/48,23910,"China Next Generation Internet CERNET2"
2001:250:1c0d::/48,138376,"CERNET2 regional IX at Ningxia University"
2001:250:1c0e::/48,138376,"CERNET2 regional IX at Ningxia University"
2001:250:1c0f::/48,23910,"China Next Generation Internet CERNET2"
2001:250:1c10::/44,23910,"China Next Generation Internet CERNET2"
2001:250:1c20::/43,23910,"China Next Generation Internet CERNET2"
2001:250:1c40::/42,23910,"China Next Generation Internet CERNET2"
2001:250:1c80::/41,23910,"China Next Generation Internet CERNET2"
2001:250:1d00::/40,23910,"China Next Generation Internet CERNET2"
2001:250:1e00::/45,138377,"CERNET2 regional IX at Qinghai Normal University"
2001:250:1e08::/46,138377,"CERNET2 regional IX at Qinghai Normal University"
2001:250:1e0c::/48,138377,"CERNET2 regional IX at Qinghai Normal University"
2001:250:1e0d::/48,23910,"China Next Generation Internet CERNET2"
2001:250:1e0e::/47,23910,"China Next Generation Internet CERNET2"
2001:250:1e10::/44,23910,"China Next Generation Internet CERNET2"
2001:250:1e20::/43,23910,"China Next Generation Internet CERNET2"
2001:250:1e40::/42,23910,"China Next Generation Internet CERNET2"
2001:250:1e80::/41,23910,"China Next Generation Internet CERNET2"
2001:250:1f00::/40,23910,"China Next Generation Internet CERNET2"
2001:250:2000::/44,24355,"CERNET2 IX at University of Electronic Science and Technology of China"
2001:250:2010::/48,24355,"CERNET2 IX at University of Electronic Science and Technology of China"
2001:250:2011::/48,23910,"China Next Generation Internet CERNET2"
2001:250:2012::/47,24355,"CERNET2 IX at University of Electronic Science and Technology of China"
2001:250:2014::/48,23910,"China Next Generation Internet CERNET2"
2001:250:2015::/48,24355,"CERNET2 IX at University of Electronic Science and Technology of China"
2001:250:2016::/47,24355,"CERNET2 IX at University of Electronic Science and Technology of China"
2001:250:2018::/47,24355,"CERNET2 IX at University of Electronic Science and Technology of China"
2001:250:201a::/48,24355,"CERNET2 IX at University of Electronic Science and Technology of China"
2001:250:201b::/48,23910,"China Next Generation Internet CERNET2"
2001:250:201c::/47,24355,"CERNET2 IX at University of Electronic Science and Technology of China"
2001:250:201e::/48,23910,"China Next Generation Internet CERNET2"
2001:250:201f::/48,24355,"CERNET2 IX at University of Electronic Science and Technology of China"
2001:250:2020::/45,24355,"CERNET2 IX at University of Electronic Science and Technology of China"
2001:250:2028::/48,24355,"CERNET2 IX at University of Electronic Science and Technology of China"
2001:250:2029::/48,23910,"China Next Generation Internet CERNET2"
2001:250:202a::/47,24355,"CERNET2 IX at University of Electronic Science and Technology of China"
2001:250:202c::/46,24355,"CERNET2 IX at University of Electronic Science and Technology of China"
2001:250:2030::/46,24355,"CERNET2 IX at University of Electronic Science and Technology of China"
2001:250:2034::/48,23910,"China Next Generation Internet CERNET2"
2001:250:2035::/48,24355,"CERNET2 IX at University of Electronic Science and Technology of China"
2001:250:2036::/47,24355,"CERNET2 IX at University of Electronic Science and Technology of China"
2001:250:2038::/46,24355,"CERNET2 IX at University of Electronic Science and Technology of China"
2001:250:203c::/48,24355,"CERNET2 IX at University of Electronic Science and Technology of China"
2001:250:203d::/48,23910,"China Next Generation Internet CERNET2"
2001:250:203e::/47,24355,"CERNET2 IX at University of Electronic Science and Technology of China"
2001:250:2040::/47,23910,"China Next Generation Internet CERNET2"
2001:250:2042::/48,23910,"China Next Generation Internet CERNET2"
2001:250:2043::/48,24355,"CERNET2 IX at University of Electronic Science and Technology of China"
2001:250:2044::/48,23910,"China Next Generation Internet CERNET2"
2001:250:2045::/48,24355,"CERNET2 IX at University of Electronic Science and Technology of China"
2001:250:2046::/48,23910,"China Next Generation Internet CERNET2"
2001:250:2047::/48,24355,"CERNET2 IX at University of Electronic Science and Technology of China"
2001:250:2048::/48,23910,"China Next Generation Internet CERNET2"
2001:250:2049::/48,24355,"CERNET2 IX at University of Electronic Science and Technology of China"
2001:250:204a::/47,23910,"China Next Generation Internet CERNET2"
2001:250:204c::/46,23910,"China Next Generation Internet CERNET2"
2001:250:2050::/44,23910,"China Next Generation Internet CERNET2"
2001:250:2060::/43,23910,"China Next Generation Internet CERNET2"
2001:250:2080::/41,23910,"China Next Generation Internet CERNET2"
2001:250:2100::/48,138381,"CERNET2 regional IX at Guizhou University"
2001:250:2101::/48,23910,"China Next Generation Internet CERNET2"
2001:250:2102::/47,23910,"China Next Generation Internet CERNET2"
2001:250:2104::/46,23910,"China Next Generation Internet CERNET2"
2001:250:2108::/45,23910,"China Next Generation Internet CERNET2"
2001:250:2110::/44,23910,"China Next Generation Internet CERNET2"
2001:250:2120::/43,23910,"China Next Generation Internet CERNET2"
2001:250:2140::/42,23910,"China Next Generation Internet CERNET2"
2001:250:2180::/41,23910,"China Next Generation Internet CERNET2"
2001:250:2200::/39,23910,"China Next Generation Internet CERNET2"
2001:250:2400::/48,23910,"China Next Generation Internet CERNET2"
2001:250:2401::/48,24356,"CERNET2 IX at Chongqing University"
2001:250:2402::/48,24356,"CERNET2 IX at Chongqing University"
2001:250:2403::/48,23910,"China Next Generation Internet CERNET2"
2001:250:2404::/47,23910,"China Next Generation Internet CERNET2"
2001:250:2406::/47,24356,"CERNET2 IX at Chongqing University"
2001:250:2408::/46,24356,"CERNET2 IX at Chongqing University"
2001:250:240c::/47,24356,"CERNET2 IX at Chongqing University"
2001:250:240e::/48,23910,"China Next Generation Internet CERNET2"
2001:250:240f::/48,24356,"CERNET2 IX at Chongqing University"
2001:250:2410::/48,24356,"CERNET2 IX at Chongqing University"
2001:250:2411::/48,23910,"China Next Generation Internet CERNET2"
2001:250:2412::/48,23910,"China Next Generation Internet CERNET2"
2001:250:2413::/48,24356,"CERNET2 IX at Chongqing University"
2001:250:2414::/46,24356,"CERNET2 IX at Chongqing University"
2001:250:2418::/46,24356,"CERNET2 IX at Chongqing University"
2001:250:241c::/47,24356,"CERNET2 IX at Chongqing University"
2001:250:241e::/48,24356,"CERNET2 IX at Chongqing University"
2001:250:241f::/48,23910,"China Next Generation Internet CERNET2"
2001:250:2420::/45,24356,"CERNET2 IX at Chongqing University"
2001:250:2428::/48,23910,"China Next Generation Internet CERNET2"
2001:250:2429::/48,24356,"CERNET2 IX at Chongqing University"
2001:250:242a::/47,24356,"CERNET2 IX at Chongqing University"
2001:250:242c::/46,24356,"CERNET2 IX at Chongqing University"
2001:250:2430::/45,24356,"CERNET2 IX at Chongqing University"
2001:250:2438::/47,24356,"CERNET2 IX at Chongqing University"
2001:250:243a::/48,24356,"CERNET2 IX at Chongqing University"
2001:250:243b::/48,23910,"China Next Generation Internet CERNET2"
2001:250:243c::/46,24356,"CERNET2 IX at Chongqing University"
2001:250:2440::/42,23910,"China Next Generation Internet CERNET2"
2001:250:2480::/41,23910,"China Next Generation Internet CERNET2"
2001:250:2500::/40,23910,"China Next Generation Internet CERNET2"
2001:250:2600::/39,23910,"China Next Generation Internet CERNET2"
2001:250:2800::/46,138378,"CERNET2 regional IX at Yunnan University"
2001:250:2804::/47,138378,"CERNET2 regional IX at Yunnan University"
2001:250:2806::/48,138378,"CERNET2 regional IX at Yunnan University"
2001:250:2807::/48,23910,"China Next Generation Internet CERNET2"
2001:250:2808::/45,138378,"CERNET2 regional IX at Yunnan University"
2001:250:2810::/44,138378,"CERNET2 regional IX at Yunnan University"
2001:250:2820::/46,138378,"CERNET2 regional IX at Yunnan University"
2001:250:2824::/48,23910,"China Next Generation Internet CERNET2"
2001:250:2825::/48,138378,"CERNET2 regional IX at Yunnan University"
2001:250:2826::/47,138378,"CERNET2 regional IX at Yunnan University"
2001:250:2828::/45,138378,"CERNET2 regional IX at Yunnan University"
2001:250:2830::/46,138378,"CERNET2 regional IX at Yunnan University"
2001:250:2834::/47,138378,"CERNET2 regional IX at Yunnan University"
2001:250:2836::/48,138378,"CERNET2 regional IX at Yunnan University"
2001:250:2837::/48,23910,"China Next Generation Internet CERNET2"
2001:250:2838::/45,23910,"China Next Generation Internet CERNET2"
2001:250:2840::/42,23910,"China Next Generation Internet CERNET2"
2001:250:2880::/41,23910,"China Next Generation Internet CERNET2"
2001:250:2900::/40,23910,"China Next Generation Internet CERNET2"
2001:250:2a00::/39,23910,"China Next Generation Internet CERNET2"
2001:250:2c00::/45,138381,"CERNET2 regional IX at Guizhou University"
2001:250:2c08::/47,138381,"CERNET2 regional IX at Guizhou University"
2001:250:2c0a::/48,23910,"China Next Generation Internet CERNET2"
2001:250:2c0b::/48,138381,"CERNET2 regional IX at Guizhou University"
2001:250:2c0c::/46,138381,"CERNET2 regional IX at Guizhou University"
2001:250:2c10::/44,138381,"CERNET2 regional IX at Guizhou University"
2001:250:2c20::/45,138381,"CERNET2 regional IX at Guizhou University"
2001:250:2c28::/46,138381,"CERNET2 regional IX at Guizhou University"
2001:250:2c2c::/48,23910,"China Next Generation Internet CERNET2"
2001:250:2c2d::/48,138381,"CERNET2 regional IX at Guizhou University"
2001:250:2c2e::/48,138381,"CERNET2 regional IX at Guizhou University"
2001:250:2c2f::/48,23910,"China Next Generation Internet CERNET2"
2001:250:2c30::/46,138381,"CERNET2 regional IX at Guizhou University"
2001:250:2c34::/47,138381,"CERNET2 regional IX at Guizhou University"
2001:250:2c36::/47,23910,"China Next Generation Internet CERNET2"
2001:250:2c38::/45,23910,"China Next Generation Internet CERNET2"
